hole_uid,source_id,native_id,company,project,jurisdiction,lat,lon,easting,northing,utm_zone,utm_hemi,datum,elev_m,azimuth,dip,depth_m,year_drilled,has_assay,assay_flags,report_ref,url
gov:nb:70-011,gov:nb,70-011,,Yes,New Brunswick,45.8505403307586,-67.03504022009518,,,,,NAD83,,166.0,-55.0,89.61120000000001,1970.0,0,,470192,
gov:nb:70-012,gov:nb,70-012,,Yes,New Brunswick,45.8505403307586,-67.03504022009518,,,,,NAD83,,166.0,-70.0,87.17280000000001,1970.0,0,,470192,
gov:nb:70-027,gov:nb,70-027,,Yes,New Brunswick,45.85055935542956,-67.03482151826887,,,,,NAD83,,166.0,-55.0,83.51520000000001,1970.0,0,,470192,
gov:nb:75-032,gov:nb,75-032,,Yes,New Brunswick,45.85391069611614,-67.0300766821514,,,,,NAD83,,190.0,-70.0,297.89932799999997,1976.0,0,,470196,
gov:nb:70-059,gov:nb,70-059,,Yes,New Brunswick,45.85376198099109,-67.03874104217893,,,,,NAD83,,,-90.0,457.2,1970.0,0,,470192,
gov:nb:87-004,gov:nb,87-004,,Yes,New Brunswick,45.84650586714381,-67.04524955987024,,,,,NAD83,,90.0,-45.0,219.45600000000002,1987.0,0,,473848,
gov:nb:70-071,gov:nb,70-071,,Yes,New Brunswick,45.85128600591551,-67.03527917338626,,,,,NAD83,,166.0,-55.0,135.636,1970.0,0,,470192,
gov:nb:70-055,gov:nb,70-055,,Yes,New Brunswick,45.85113117206324,-67.03758243671767,,,,,NAD83,,189.0,-55.0,154.8384,1970.0,0,,470192,
gov:nb:70-066,gov:nb,70-066,,Yes,New Brunswick,45.85154449732498,-67.03579670003042,,,,,NAD83,,166.0,-55.0,171.60240000000002,1970.0,0,,470192,
gov:nb:83-002,gov:nb,83-002,,Yes,New Brunswick,45.86178689614448,-67.04460128598325,,,,,NAD83,,180.0,-80.0,753.398544,1984.0,0,,473020,
gov:nb:78-008,gov:nb,78-008,,Yes,New Brunswick,45.8623026950472,-67.04398818936734,,,,,NAD83,,180.0,-45.0,142.39951200000002,1979.0,0,,472382,
gov:nb:81-27,gov:nb,81-27,,Yes,New Brunswick,45.86165220680936,-67.04077514379877,,,,,NAD83,,162.0,-84.0,761.29896,1981.0,0,,473020,
gov:nb:78-005,gov:nb,78-005,,Yes,New Brunswick,45.861482914358184,-67.0404257838093,,,,,NAD83,,180.0,-44.0,154.89936,1979.0,0,,472382,
